Date,Oil,Ouro,Soja,Prata,Trigo,Oil ETFS
"Jun 15, 2007",66.62,9.34,12.72,16.54,3.42,38.76
"Jun 22, 2007",68.78,9.83,12.99,16.79,3.47,39.92
"Jun 29, 2007",69.13,9.46,12.68,16.06,3.48,39.85
"Jul 06, 2007",71.78,9.38,13.10,15.80,3.40,40.54
"Jul 13, 2007",72.79,9.51,13.59,16.46,3.46,41.76
"Jul 20, 2007",74.92,9.65,13.49,16.51,3.26,42.67
"Jul 27, 2007",75.15,9.72,12.63,16.60,3.34,43.51
"Aug 03, 2007",76.75,9.56,12.63,16.23,3.70,43.84
"Aug 10, 2007",71.92,9.61,12.76,16.21,3.83,40.54
"Aug 17, 2007",72.05,9.51,12.67,15.66,3.58,41.12
"Aug 24, 2007",70.19,9.43,12.63,14.60,3.88,39.67
"Aug 31, 2007",72.93,9.61,13.01,14.84,4.26,41.62
"Sep 07, 2007",75.96,9.88,13.11,15.35,4.57,42.97
"Sep 14, 2007",78.95,10.12,13.94,15.80,4.83,44.50
"Sep 21, 2007",82.26,10.35,14.48,16.36,4.82,46.23
"Sep 28, 2007",81.7,10.46,14.25,16.89,5.11,46.85
"Oct 05, 2007",80.59,10.49,14.42,16.76,5.20,46.28
"Oct 12, 2007",81.46,10.59,14.31,16.99,4.82,46.84
"Oct 19, 2007",87.8,10.82,14.70,17.07,4.69,50.16
"Oct 26, 2007",89.23,10.86,14.68,17.21,4.64,51.15
"Nov 02, 2007",93.46,11.25,14.99,17.86,4.54,54.35
"Nov 09, 2007",95.81,11.29,15.25,18.44,4.28,56.24
"Nov 16, 2007",93.56,11.35,15.69,18.28,4.26,54.07
"Nov 23, 2007",97.93,11.34,16.00,18.06,4.45,56.75
"Nov 30, 2007",92.47,11.42,16.05,17.81,4.74,54.84
"Dec 07, 2007",88.71,11.30,15.99,17.77,4.88,52.10
"Dec 14, 2007",91.18,11.41,16.76,17.75,5.13,53.68
"Dec 21, 2007",91.16,11.34,17.02,17.41,5.29,53.89
"Dec 28, 2007",95.64,11.73,17.70,18.26,5.09,56.62
"Jan 04, 2008",98.17,12.12,18.05,18.78,5.04,57.87
"Jan 11, 2008",94.76,12.44,18.40,19.44,4.97,56.21
"Jan 18, 2008",91.51,12.62,18.72,19.97,5.14,53.99
"Jan 25, 2008",89.41,12.60,17.97,19.85,5.16,52.73
"Feb 01, 2008",91.14,13.00,18.36,20.72,5.18,53.80
"Feb 08, 2008",89.08,12.73,19.42,20.60,5.77,53.32
"Feb 15, 2008",94.13,12.85,19.44,21.35,5.63,55.72
"Feb 22, 2008",99.61,13.11,20.23,21.65,5.58,58.00
"Feb 29, 2008",100.84,13.46,21.31,23.47,6.32,59.79
"Mar 07, 2008",103.44,13.89,21.27,24.66,6.00,61.48
"Mar 14, 2008",109.35,13.84,20.04,24.72,6.59,64.09
"Mar 21, 2008",105.28,13.64,18.06,23.30,5.88,61.77
"Mar 28, 2008",104.49,13.19,18.82,22.08,5.49,62.04
"Apr 04, 2008",103.46,12.68,17.43,21.19,4.99,61.37
"Apr 11, 2008",109.71,12.97,18.59,21.96,4.95,65.12
"Apr 18, 2008",114.33,13.08,19.50,22.08,4.86,67.57
"Apr 25, 2008",118.53,12.69,19.37,21.09,4.46,70.08
"May 02, 2008",115.42,12.19,18.20,20.30,4.27,68.84
"May 09, 2008",123.01,12.29,18.64,20.48,4.32,73.77
"May 16, 2008",124.96,12.35,19.42,20.67,4.17,75.48
"May 23, 2008",130.14,12.89,19.04,21.55,4.09,78.18
"May 30, 2008",128.47,12.51,19.12,20.99,3.97,77.63
"Jun 06, 2008",128.16,12.38,19.94,20.70,4.14,76.46
"Jun 13, 2008",134.8,12.25,20.65,20.50,4.38,81.38
"Jun 20, 2008",134.34,12.41,21.87,21.14,4.68,81.16
"Jun 27, 2008",137,12.54,21.70,20.71,4.69,82.39
"Jul 04, 2008",142.52,13.05,22.85,21.89,4.53,85.68
"Jul 11, 2008",139.95,13.01,22.16,22.08,4.27,83.66
"Jul 18, 2008",135.37,13.49,21.80,22.88,4.23,82.32
"Jul 25, 2008",125.92,13.07,19.84,21.54,4.10,76.65
"Aug 01, 2008",124.57,12.76,19.83,21.17,4.13,74.26
"Aug 08, 2008",118.8,12.19,17.75,19.90,4.02,71.24
"Aug 15, 2008",114.4,11.37,17.51,17.44,4.22,68.29
"Aug 22, 2008",115.7,11.29,18.84,16.10,4.53,69.42
"Aug 29, 2008",116.09,11.54,19.13,16.55,4.16,70.28
"Sep 05, 2008",108.37,11.17,17.86,15.60,3.86,65.08
"Sep 12, 2008",102.88,10.72,16.96,13.60,3.67,61.70
"Sep 19, 2008",97.19,10.72,16.63,12.86,3.21,52.65
"Sep 26, 2008",111.12,12.12,16.73,15.96,3.58,62.62
"Oct 03, 2008",96.59,11.98,14.81,14.65,3.29,57.52
"Oct 10, 2008",86.24,12.26,13.37,13.89,2.99,51.63
"Oct 17, 2008",75.19,11.29,12.68,12.13,2.85,45.33
"Oct 24, 2008",68.56,10.35,13.33,11.41,2.72,41.57
"Oct 31, 2008",65.21,10.22,13.11,11.42,2.72,39.27
"Nov 07, 2008",64.31,10.22,13.05,12.20,2.77,38.93
"Nov 14, 2008",58.6,9.42,12.66,11.53,2.67,35.07
"Nov 21, 2008",52.26,8.99,12.49,11.30,2.64,32.08
"Nov 28, 2008",53.27,9.71,12.47,12.43,2.68,31.49
"Dec 05, 2008",45.6,9.26,11.63,11.36,2.47,27.82
"Dec 12, 2008",44.57,8.88,11.77,12.22,2.42,26.46
"Dec 19, 2008",39.7,9.23,12.10,13.16,2.63,26.25
"Dec 26, 2008",32.98,10.06,12.55,12.30,2.76,22.18
"Jan 02, 2009",42.4,9.76,13.50,13.30,2.91,23.43
"Jan 09, 2009",44.46,7.81,14.05,13.31,2.99,26.48
"Jan 16, 2009",36.73,9.18,14.07,12.93,2.81,23.48
"Jan 23, 2009",42.15,9.20,14.19,13.57,2.76,22.49
"Jan 30, 2009",42.7,9.44,13.95,14.59,2.85,23.23
"Feb 06, 2009",40.78,10.20,13.34,15.12,2.69,21.90
"Feb 13, 2009",36.94,8.79,13.68,15.95,2.67,20.48
"Feb 20, 2009",37.15,9.36,12.36,16.87,2.51,17.89
"Feb 27, 2009",41.1,9.99,12.16,16.49,2.49,18.80
"Mar 06, 2009",43.18,9.73,11.86,15.46,2.42,19.30
"Mar 13, 2009",45.66,9.07,12.21,15.42,2.47,20.19
"Mar 20, 2009",49.49,8.97,12.80,15.47,2.58,21.34
"Mar 27, 2009",52.99,10.82,13.25,16.15,2.48,22.75
"Apr 03, 2009",50.34,11.09,13.25,15.39,2.49,21.34
"Apr 10, 2009",50.46,11.35,13.97,14.59,2.56,21.69
"Apr 17, 2009",49.86,11.62,14.54,14.79,2.47,21.28
"Apr 24, 2009",47.8,11.88,14.42,14.75,2.44,19.85
"May 01, 2009",50.2,12.15,14.31,14.98,2.47,20.22
"May 08, 2009",55.96,12.42,15.52,16.31,2.61,22.27
"May 15, 2009",57.94,12.68,15.69,16.77,2.71,22.91
"May 22, 2009",60.32,12.80,16.28,16.93,2.74,23.41
"May 29, 2009",64.32,13.15,16.54,17.90,2.91,24.84
"Jun 05, 2009",68.11,13.31,16.88,18.63,2.98,26.35
"Jun 12, 2009",70.85,12.94,17.41,17.99,2.77,27.38
"Jun 19, 2009",70.62,12.72,16.78,16.86,2.63,27.43
"Jun 26, 2009",68.58,12.67,16.07,16.56,2.53,26.25
"Jul 03, 2009",69.32,12.70,16.01,16.16,2.38,26.37
"Jul 10, 2009",61.48,12.48,14.98,15.30,2.31,23.59
"Jul 17, 2009",61.29,12.67,14.68,15.50,2.36,23.43
"Jul 24, 2009",65.28,12.99,14.93,16.26,2.34,24.93
"Jul 31, 2009",67.03,12.78,15.23,16.11,2.29,24.96
"Aug 07, 2009",71.58,13.08,16.68,17.31,2.33,27.04
"Aug 14, 2009",69.64,12.93,16.63,17.38,2.15,26.60
"Aug 21, 2009",70.8,12.80,15.51,16.50,2.08,26.16
"Aug 28, 2009",72.37,12.89,16.22,17.02,2.10,26.47
"Sep 04, 2009",68.39,13.23,15.42,18.33,2.01,24.82
"Sep 11, 2009",70.91,13.59,14.94,19.65,1.93,25.83
"Sep 18, 2009",71.32,13.68,15.12,20.17,1.93,25.73
"Sep 25, 2009",68.33,13.61,14.89,19.67,1.92,24.85
"Oct 02, 2009",68.84,13.55,14.88,19.25,1.87,24.63
"Oct 09, 2009",70.8,14.09,14.72,20.47,1.92,25.63
"Oct 16, 2009",75.73,14.33,15.98,20.90,2.08,27.08
"Oct 23, 2009",80.06,14.32,16.07,20.77,2.22,28.61
"Oct 30, 2009",78.47,14.09,15.82,19.66,2.13,28.29
"Nov 06, 2009",79,14.62,15.82,20.11,2.12,28.19
"Nov 13, 2009",78.24,14.98,15.64,20.51,2.17,28.15
"Nov 20, 2009",78.37,15.40,16.45,21.66,2.33,28.04
"Nov 27, 2009",76.14,15.89,16.83,21.88,2.28,27.32
"Dec 04, 2009",76.81,16.14,16.88,22.17,2.31,27.32
"Dec 11, 2009",71.51,15.36,16.67,20.76,2.16,25.63
"Dec 18, 2009",71.72,15.16,16.68,20.42,2.13,25.24
"Dec 25, 2009",74.76,14.82,16.15,20.19,2.09,25.87
"Jan 01, 2010",79.07,14.87,16.54,20.06,2.17,26.85
"Jan 08, 2010",82.34,15.24,16.71,21.19,2.23,27.96
"Jan 15, 2010",80.06,15.37,15.77,21.77,2.14,27.34
"Jan 22, 2010",76.62,15.02,15.31,21.07,2.01,26.19
"Jan 29, 2010",73.94,14.72,14.85,19.52,1.96,25.17
"Feb 05, 2010",74.57,14.70,14.63,18.79,1.91,25.23
"Feb 12, 2010",73.88,14.52,14.92,17.87,1.93,24.70
"Feb 19, 2010",78.25,15.01,15.13,18.74,1.97,26.10
"Feb 26, 2010",79.22,14.90,15.06,18.84,1.97,26.57
"Mar 05, 2010",80.19,15.25,15.08,20.01,1.96,27.08
"Mar 12, 2010",81.76,15.01,14.87,20.16,1.89,27.52
"Mar 19, 2010",81.44,15.04,14.80,20.23,1.88,27.22
"Mar 26, 2010",80.65,14.77,15.23,19.72,1.84,27.04
"Apr 02, 2010",83.01,15.04,14.88,20.59,1.78,27.82
"Apr 09, 2010",85.66,15.40,14.82,21.24,1.79,28.59
"Apr 16, 2010",84.34,15.52,15.22,21.35,1.84,28.37
"Apr 23, 2010",82.9,15.38,15.71,21.07,1.90,27.85
"Apr 30, 2010",84.22,15.67,15.58,21.47,1.87,28.29
"May 07, 2010",80.24,15.90,15.19,20.89,1.90,27.42
"May 14, 2010",74.98,16.41,14.96,22.43,1.84,25.88
"May 21, 2010",69.14,16.19,14.64,21.51,1.76,23.58
"May 28, 2010",70.62,16.17,14.65,21.17,1.76,23.38
"Jun 04, 2010",72.91,16.29,14.59,21.14,1.70,24.15
"Jun 11, 2010",73.44,16.52,14.60,21.18,1.63,24.00
"Jun 18, 2010",76.7,16.59,14.92,21.73,1.71,24.97
"Jun 25, 2010",77.06,16.69,15.14,21.98,1.72,24.73
"Jul 02, 2010",74.96,16.54,14.76,21.38,1.73,23.93
"Jul 09, 2010",74.39,16.08,14.98,20.79,1.89,23.63
"Jul 16, 2010",76.35,16.15,15.70,21.14,2.03,24.25
"Jul 23, 2010",77.56,15.93,15.88,20.81,2.13,24.72
"Jul 30, 2010",78.12,15.63,15.94,20.64,2.22,24.65
"Aug 06, 2010",81.79,15.98,16.60,21.45,2.61,25.95
"Aug 13, 2010",78.17,16.08,16.58,20.99,2.57,24.87
"Aug 20, 2010",74.84,16.37,16.71,21.28,2.45,23.70
"Aug 27, 2010",72.91,16.48,16.20,21.71,2.43,22.96
"Sep 03, 2010",74.02,16.64,16.34,22.57,2.46,23.49
"Sep 10, 2010",74.82,16.71,16.86,23.08,2.53,23.81
"Sep 17, 2010",75.62,16.92,16.92,23.83,2.54,24.08
"Sep 24, 2010",73.76,17.18,17.72,24.34,2.49,23.53
"Oct 01, 2010",78.41,17.41,17.93,25.17,2.35,24.27
"Oct 08, 2010",82.29,17.86,17.58,26.32,2.32,25.82
"Oct 15, 2010",82.16,18.18,19.13,27.54,2.45,25.72
"Oct 22, 2010",81.15,17.90,19.34,27.48,2.35,25.31
"Oct 29, 2010",82.03,17.80,19.77,27.51,2.42,25.26
"Nov 05, 2010",84.93,18.13,20.04,29.17,2.43,26.21
"Nov 12, 2010",86.91,18.58,21.05,31.49,2.47,26.74
"Nov 19, 2010",82.23,18.01,19.80,30.25,2.26,25.40
"Nov 26, 2010",82.28,18.16,19.84,31.47,2.25,25.33
"Dec 03, 2010",86.75,18.45,20.21,32.67,2.38,26.41
"Dec 10, 2010",88.5,18.52,20.60,33.58,2.57,27.04
"Dec 17, 2010",88.27,18.39,20.75,33.51,2.50,27.09
"Dec 24, 2010",89.66,18.37,21.41,33.77,2.52,27.49
"Dec 31, 2010",90.97,18.72,21.92,35.27,2.57,27.48
"Jan 07, 2011",89.54,18.24,21.76,33.81,2.60,27.34
"Jan 14, 2011",91.02,18.20,22.29,33.62,2.53,27.86
"Jan 21, 2011",89.75,18.02,22.51,32.50,2.60,27.54
"Jan 28, 2011",86.11,17.59,22.23,31.26,2.74,26.31
"Feb 04, 2011",89.52,17.71,22.71,32.62,2.78,27.39
"Feb 11, 2011",85.51,18.04,22.86,34.49,2.85,26.43
"Feb 18, 2011",84.13,18.24,21.96,35.73,2.77,25.94
"Feb 25, 2011",95.26,18.67,21.11,38.27,2.55,27.69
"Mar 04, 2011",101.05,18.87,21.86,39.65,2.58,28.73
"Mar 11, 2011",103.74,18.83,21.62,40.91,2.43,29.48
"Mar 18, 2011",99.79,18.64,20.84,40.17,2.22,28.43
"Mar 25, 2011",104.41,18.98,21.43,42.36,2.28,29.57
"Apr 01, 2011",105.08,18.81,21.84,42.80,2.32,29.65
"Apr 08, 2011",109.29,19.23,21.73,45.22,2.45,30.73
"Apr 15, 2011",107.75,19.36,21.10,47.24,2.39,30.66
"Apr 22, 2011",109.11,19.81,21.25,50.63,2.47,30.64
"Apr 29, 2011",112.3,20.00,21.60,53.27,2.49,31.40
"May 06, 2011",105.84,20.05,20.99,45.98,2.32,29.74
"May 13, 2011",99.87,19.90,20.82,42.22,2.30,28.09
"May 20, 2011",97.99,19.72,21.16,39.76,2.35,27.40
"May 27, 2011",99.55,20.13,21.49,42.35,2.43,27.67
"Jun 03, 2011",100.92,20.27,21.76,42.56,2.33,27.99
"Jun 10, 2011",100.05,20.27,21.78,42.25,2.26,27.77
"Jun 17, 2011",95.87,20.14,21.36,40.62,2.14,26.90
"Jun 24, 2011",92.7,20.24,20.82,40.85,1.95,25.66
"Jul 01, 2011",93.7,19.78,20.47,39.19,1.85,25.88
"Jul 08, 2011",97.12,20.02,20.74,40.71,1.81,26.69
"Jul 15, 2011",96.72,20.70,21.36,42.77,1.94,26.68
"Jul 22, 2011",98.01,21.05,21.81,45.80,1.98,27.03
"Jul 29, 2011",97.83,21.28,21.49,45.96,1.97,26.95
"Aug 05, 2011",90.85,21.78,21.27,46.25,1.97,25.13
"Aug 12, 2011",82.86,22.91,20.61,43.91,1.94,22.84
"Aug 19, 2011",85.36,23.66,21.18,46.34,2.03,23.41
"Aug 26, 2011",85.06,23.81,21.66,47.65,2.12,23.05
"Sep 02, 2011",88.07,24.20,22.67,47.86,2.12,24.10
"Sep 09, 2011",87.91,24.45,22.25,48.15,2.04,23.66
"Sep 16, 2011",88.93,23.76,21.58,46.21,1.91,24.06
"Sep 23, 2011",83.65,23.13,20.50,43.35,1.80,22.91
"Sep 30, 2011",81.18,21.35,19.35,35.09,1.75,22.24
"Oct 07, 2011",79.43,21.53,18.31,35.01,1.67,21.58
"Oct 14, 2011",85.35,21.92,19.18,36.63,1.70,23.21
"Oct 21, 2011",86.82,21.56,19.31,35.59,1.71,23.56
"Oct 28, 2011",92.32,22.41,19.17,38.19,1.72,24.89
"Nov 04, 2011",93.24,22.77,18.76,38.66,1.70,24.93
"Nov 11, 2011",96.97,23.31,18.45,39.18,1.72,26.14
"Nov 18, 2011",99.32,23.05,18.28,38.20,1.64,26.87
"Nov 25, 2011",96.89,22.24,17.44,36.00,1.56,26.04
"Dec 02, 2011",99.91,22.74,17.47,37.11,1.60,26.87
"Dec 09, 2011",100.08,22.56,17.32,36.55,1.57,27.02
"Dec 16, 2011",96.06,21.07,17.11,33.98,1.53,25.99
"Dec 23, 2011",97.74,21.03,17.73,33.19,1.59,26.34
"Dec 30, 2011",99.81,20.38,18.34,31.18,1.69,26.67
